level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	159	80	12	16	72.128349	=|
5	1	1	1	1	2	190	80	13	16	50.216240	4
5	1	1	1	1	3	696	68	18	47	78.757347	=
5	1	1	1	2	1	211	285	195	13	40.213654	71118-534H-HCY-15
5	1	1	1	2	2	1048	281	117	17	96.009674	CLEANING
5	1	1	1	2	3	1185	281	44	17	96.000313	AND
5	1	1	1	3	1	1058	306	102	17	31.962299	COOLING
5	1	1	1	3	2	1180	306	38	17	96.219315	AIR
5	1	1	1	4	1	101	342	50	19	80.213646	V533
5	1	1	1	4	2	334	342	63	19	43.578957	yvo34
5	1	1	1	5	1	334	366	13	10	46.300774	a
5	1	1	1	5	2	394	369	20	12	96.203178	AH
5	1	1	1	6	1	84	387	79	18	90.670624	M-TP21
5	1	1	1	6	2	250	388	94	17	0.000000	u-rish
5	1	1	1	6	3	363	358	70	64	29.047098	ff)
5	1	1	1	6	4	1314	388	14	17	92.992981	M
5	1	1	1	7	1	332	411	18	39	31.772160	xe
5	1	1	1	7	2	862	425	18	19	80.056259	LT
5	1	1	1	7	3	894	425	46	19	80.056259	TYPE
5	1	1	1	7	4	956	425	60	19	89.470306	RADAR
5	1	1	1	8	1	271	449	69	43	35.605473	VN
5	1	1	1	8	2	502	449	65	43	35.355751	VN]
5	1	1	1	8	3	790	453	56	28	46.498886	VN]
5	1	1	1	9	1	88	485	56	56	0.000000	)
5	1	1	1	9	2	275	482	57	28	88.638519	KA
5	1	1	1	9	3	506	478	61	39	66.457970	KA]
5	1	1	1	9	4	790	482	56	28	84.183830	KA
5	1	1	1	9	5	886	495	155	12	42.903477	11528-802—HBY-200
5	1	1	1	9	6	1317	489	13	26	69.338852	(
5	1	1	1	10	1	343	534	16	14	68.033958	4
5	1	1	1	10	2	892	523	66	17	20.954231	200Ax1
5	1	1	1	10	3	1318	516	12	21	92.715378	\
5	1	1	1	11	1	167	554	13	14	42.704811	fh
5	1	1	1	11	2	222	550	35	18	60.078449	Wiss
5	1	1	1	11	3	296	551	20	12	14.237862	(AA
5	1	1	1	11	4	394	551	20	12	64.319260	AH
5	1	1	1	11	5	1015	551	64	17	95.900681	VENT
5	1	1	1	12	1	25	586	66	18	0.000000	200Ax!
5	1	1	1	12	2	154	575	36	45	61.856560	ll
5	1	1	1	12	3	278	541	81	64	35.736954	oll
5	1	1	1	12	4	534	568	170	64	54.910225	CEC)
5	1	1	1	12	5	733	572	113	56	66.443504	Oe
5	1	1	1	12	6	874	556	59	64	40.225449	()
5	1	1	1	12	7	996	576	101	17	62.988075	OUTSIDE
5	1	1	1	12	8	1130	580	66	15	68.860924	BOILER
5	1	1	1	12	9	1212	580	35	15	92.148827	OFA
5	1	1	1	12	10	1301	578	29	17	66.828690	20
5	1	1	1	13	1	154	608	18	6	44.330250	=
5	1	1	1	13	2	304	618	7	10	30.300507	a
5	1	1	1	13	3	345	599	7	39	90.634544	|
5	1	1	1	13	4	367	621	1	7	33.743500	|
5	1	1	1	13	5	544	612	17	16	55.239529	a
5	1	1	1	13	6	867	614	94	14	25.793461	Goan
5	1	1	1	13	7	1082	612	142	17	40.940086	12PB001-PID-200
5	1	1	1	13	8	1235	609	43	25	86.383034	(C-8)
5	1	1	1	14	1	33	639	156	13	43.177101	11528-502—-HBY-200
5	1	1	1	14	2	620	634	19	66	78.375633	\
5	1	1	1	14	3	860	631	21	29	3.794956	\f
5	1	1	1	15	1	856	657	25	23	0.000000	7\
5	1	1	1	15	2	1260	661	70	12	76.881470	11528-50
5	1	1	1	16	1	206	654	60	65	46.972816	(2)
5	1	1	1	16	2	276	685	115	17	0.000000	rLexipLe
5	1	1	1	16	3	411	685	59	17	96.496353	HOSE
5	1	1	1	17	1	553	726	6	14	82.554443	A
5	1	1	1	17	2	628	721	19	19	84.918045	LT
5	1	1	1	17	3	660	721	47	19	84.918045	TYPE
5	1	1	1	17	4	723	721	60	19	91.728149	RADAR
5	1	1	1	17	5	870	725	5	15	81.676079	B
5	1	1	1	18	1	206	744	61	42	53.095974	VN
5	1	1	1	18	2	618	762	126	16	96.821602	RECEPTION
5	1	1	1	18	3	761	762	38	16	95.623962	BIN
5	1	1	1	18	4	816	762	10	16	95.623962	2
5	1	1	1	19	1	206	773	61	42	62.341305	KA
5	1	1	1	19	2	638	786	168	18	87.544807	11520-M-SI-04
5	1	1	1	20	1	337	865	57	28	46.324162	a
5	1	1	1	20	2	616	869	206	15	42.491318	Wy
5	1	1	1	20	3	887	864	220	57	21.188091	@B
5	1	1	1	21	1	333	889	65	43	50.578865	KY]
5	1	1	1	21	2	516	904	20	12	78.494385	48
5	1	1	1	21	3	1050	893	57	28	64.173668	KA]
5	1	1	1	22	1	664	917	57	57	46.644775	=
5	1	1	1	23	1	664	948	27	26	32.092468	D
5	1	1	1	23	2	858	970	50	18	32.927147	v187
5	1	1	1	24	1	590	996	20	12	75.611282	AH
5	1	1	1	24	2	682	996	20	12	48.234287	AH
5	1	1	1	24	3	742	996	21	12	76.515137	(AH
5	1	1	1	24	4	835	996	20	12	54.046867	‘AH
5	1	1	1	25	1	590	1025	24	24	73.540543	88.
5	1	1	1	25	2	682	1025	24	24	67.385742	88.
5	1	1	1	25	3	743	1029	19	13	95.786118	89
5	1	1	1	25	4	835	1029	19	13	94.653015	89
5	1	1	1	26	1	313	1148	57	14	74.488266	VIBRO
5	1	1	1	26	2	385	1148	75	14	89.224594	FEEDER
5	1	1	1	26	3	487	1148	10	14	89.578239	#C
5	1	1	1	26	4	947	1148	57	14	79.214272	VIBRO
5	1	1	1	26	5	1019	1148	74	14	79.214272	FEEDER
5	1	1	1	26	6	1121	1148	11	14	74.063797	#B
5	1	1	1	27	1	231	1158	44	23	58.465137	(unt
5	1	1	1	27	2	289	1158	14	23	73.702736	1)
5	1	1	1	27	3	325	1165	52	17	25.129194	FS
5	1	1	1	27	4	391	1148	94	34	0.000000	Teese
5	1	1	1	27	5	959	1165	52	17	0.000000	PPS
5	1	1	1	27	6	1025	1148	94	34	18.136244	VEER
