level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	531	70	18	27	66.782166	8
5	1	1	1	1	2	1105	70	16	26	92.868912	7
5	1	1	1	1	3	1676	70	16	27	96.458023	6
5	1	1	1	1	4	2246	70	18	27	86.845276	5
5	1	1	1	1	5	2524	79	36	35	40.794453	‘i
5	1	1	1	1	6	2816	70	19	27	96.985870	4
5	1	1	1	1	7	3391	70	18	27	44.652122	3
5	1	1	1	1	8	3965	72	15	24	96.155014	2
5	1	1	1	1	9	4532	71	7	25	47.784897	1
5	1	1	1	2	1	2934	156	97	19	75.142891	SIGNALS
5	1	1	1	2	2	3051	157	17	17	57.277946	&
5	1	1	1	2	3	3089	157	64	18	95.935371	LINES
5	1	1	1	2	4	3856	155	208	28	95.890465	EQUIPMENT
5	1	1	1	2	5	4409	155	208	28	94.716904	EQUIPMENT
5	1	1	1	3	1	2818	214	101	7	56.215576	wes
5	1	1	1	3	2	2942	202	103	13	56.215576	CONNECTION
5	1	1	1	3	3	3058	202	19	13	82.119331	TO
5	1	1	1	3	4	3091	202	75	13	82.119331	PROCESS
5	1	1	1	3	5	3180	202	21	13	94.142677	OR
5	1	1	1	3	6	3215	202	100	13	89.570732	MECHANICAL
5	1	1	1	4	1	2943	218	33	12	34.902477	LINE
5	1	1	1	4	2	2989	218	21	12	12.414284	O8
5	1	1	1	4	3	3025	218	100	12	11.946850	INSTRUMENT.
5	1	1	1	4	4	3138	218	62	12	88.340599	SUPPLY
5	1	1	1	4	5	3730	220	65	30	45.082253	EC
5	1	1	1	4	6	3993	230	73	13	85.645927	ELECTRIC
5	1	1	1	4	7	4081	230	59	13	85.645927	HEATER
5	1	1	1	4	8	4309	208	44	47	36.639748	6)
5	1	1	1	4	9	4481	228	90	13	85.626038	COMPRESSOR
5	1	1	1	5	1	2818	248	101	19	0.000000	js
5	1	1	1	5	2	2943	251	192	12	67.626785	PNEUMATIC_SIGNAL_OR
5	1	1	1	5	3	3150	251	90	12	71.034233	UNDEFINED.
5	1	1	1	6	1	2943	266	56	13	96.303520	SIGNAL
5	1	1	1	6	2	3012	266	30	12	96.533569	FOR
5	1	1	1	6	3	3056	266	75	13	96.613571	PROCESS
5	1	1	1	6	4	3146	266	41	13	96.401955	FLOW
5	1	1	1	6	5	3201	266	78	12	95.817253	DIAGRAMS
5	1	1	1	6	6	3745	261	91	29	0.000000	—-,
5	1	1	1	6	7	3994	260	87	23	61.255188	MECHANICAL,
5	1	1	1	6	8	4323	260	25	23	33.748837	aS
5	1	1	1	6	9	4486	263	54	13	94.863113	CHECK
5	1	1	1	6	10	4553	263	47	13	95.790550	VALVE
5	1	1	1	7	1	2818	298	101	1	66.114166	—————
5	1	1	1	7	2	2943	290	73	13	95.806549	ELECTRIC
5	1	1	1	7	3	3030	290	56	13	96.398254	SIGNAL
5	1	1	1	7	4	3994	279	32	33	92.051765	SEAL
5	1	1	1	7	5	4316	290	36	24	41.514404	imal
5	1	1	1	7	6	4486	294	76	13	96.172440	WEIGHING
5	1	1	1	7	7	4576	294	60	13	96.627167	SYSTEM
5	1	1	1	8	1	3748	309	4	21	90.334068	\
5	1	1	1	8	2	3823	309	4	23	78.195755	/
5	1	1	1	8	3	3994	318	25	13	95.750549	ASH
5	1	1	1	8	4	4031	318	52	13	95.868347	HOPPER
5	1	1	1	9	1	202	310	18	26	83.190628	H
5	1	1	1	9	2	2942	323	61	31	32.703415	CALLS
5	1	1	1	9	3	3019	323	56	28	0.000000	yarn
5	1	1	1	9	4	3087	323	10	31	0.000000	>
5	1	1	1	9	5	3752	331	3	7	8.130007	_
5	1	1	1	9	6	3995	354	34	12	49.366573	POKE
5	1	1	1	9	7	4040	354	33	12	96.101814	HOLE
5	1	1	1	9	8	4318	329	34	27	32.488117	|
5	1	1	1	9	9	4487	336	173	13	57.582821	ELECTRO-VIBRATORS
5	1	1	1	9	10	4855	310	18	26	24.563316	5
5	1	1	1	10	1	2818	372	101	13	0.000000	—bk—-—
5	1	1	1	10	2	2943	370	87	12	15.633221	HYDRAULIC
5	1	1	1	10	3	3044	370	56	12	56.549946	SIGNAL
5	1	1	1	10	4	3995	378	61	12	94.927795	CRUSHER
5	1	1	1	10	5	4314	359	38	28	62.616459	Dec]
5	1	1	1	10	6	4485	367	42	13	92.904175	GLOBE
5	1	1	1	10	7	4538	367	40	13	92.904175	VALVE
5	1	1	1	11	1	2943	403	150	13	84.498245	ELECTROMAGNETIC
