level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	531	70	18	27	75.052734	8
5	1	2	1	1	1	1105	70	16	26	91.169571	/
5	1	3	1	1	1	1676	70	16	27	96.001495	6
5	1	4	1	1	1	2246	70	18	27	95.549599	5
5	1	5	1	1	1	2816	70	19	27	96.351776	4
5	1	6	1	1	1	3391	70	18	27	35.921940	3
5	1	7	1	1	1	3965	72	15	24	96.785645	2
5	1	8	1	1	1	4532	71	7	25	91.291595	1
5	1	9	1	1	1	2934	156	97	19	79.750420	SIGNALS
5	1	9	1	1	2	3051	157	17	17	86.322800	&
5	1	9	1	1	3	3089	157	64	18	96.739250	LINES
5	1	10	1	1	1	3856	155	208	28	96.138580	EQUIPMENT
5	1	11	1	1	1	4409	155	208	28	96.238602	EQUIPMENT
5	1	12	1	1	1	2942	202	103	13	85.437439	CONNECTION
5	1	12	1	1	2	3058	202	19	13	85.437439	TO
5	1	12	1	1	3	3091	202	75	13	94.149261	PROCESS
5	1	12	1	1	4	3180	202	21	13	94.351036	OR
5	1	12	1	1	5	3215	202	100	13	20.512133	MECHANICAL
5	1	13	1	1	1	2943	218	33	12	95.278038	LINE
5	1	13	1	1	2	2989	218	21	12	84.938065	OR
5	1	13	1	1	3	3025	218	100	12	87.531372	INSTRUMENT
5	1	13	1	1	4	3138	218	43	12	89.797203	SUPPI
5	1	14	1	1	1	3993	230	73	13	88.932800	ELECTRIC
5	1	14	1	1	2	4081	230	59	13	93.410095	HEATER
5	1	15	1	1	1	4481	228	90	13	96.682640	COMPRESSOR
5	1	16	1	1	1	2943	251	89	12	69.580978	PNEUMATIC
5	1	16	1	1	2	3046	251	56	12	42.406189	SIGNAL
5	1	16	1	1	3	3114	251	21	12	42.406189	OR
5	1	16	1	1	4	3150	251	90	12	96.020691	UNDEFINED
5	1	17	1	1	1	2943	266	56	13	95.763939	SIGNAL
5	1	17	1	1	2	3012	266	30	12	96.184982	FOR
5	1	17	1	1	3	3056	266	75	13	96.184982	PROCESS
5	1	17	1	1	4	3146	266	41	13	95.852692	FLOW
5	1	17	1	1	5	3201	266	78	12	80.732773	DIAGRAMS
5	1	18	1	1	1	3994	264	82	31	6.949434	CERN
5	1	19	1	1	1	4486	263	54	13	95.807983	CHECK
5	1	19	1	1	2	4553	263	47	13	95.401291	VALVE
5	1	20	1	1	1	2818	298	101	1	0.000000	ae
5	1	21	1	1	1	2943	290	73	13	94.162613	ELECTRIC
5	1	21	1	1	2	3030	290	56	13	94.162613	SIGNAL
5	1	22	1	1	1	4486	294	76	13	96.367546	WEIGHING
5	1	22	1	1	2	4576	294	60	13	96.450974	SYSTEM
5	1	23	1	1	1	2942	323	85	13	90.602074	CAPILLARY
5	1	23	1	1	2	3038	323	59	12	90.602074	TUBING
5	1	24	1	1	1	3752	331	3	7	81.563339	\
5	1	24	1	1	2	3822	309	4	25	86.735641	/
5	1	25	1	1	1	3994	318	25	13	96.613205	ASH
5	1	25	1	1	2	4031	318	52	13	96.613205	HOPPER
5	1	26	1	1	1	2943	336	59	18	90.573494	(FILLED
5	1	26	1	1	2	3015	336	68	18	90.573494	SYSTEM)
5	1	27	1	1	1	4487	336	173	13	36.633408	ELECTRO-VIBRATORS,
5	1	28	1	1	1	2943	370	87	12	71.597122	HYDRAULIC
5	1	28	1	1	2	3044	370	56	12	71.597122	SIGNAL
5	1	29	1	1	1	3995	354	34	12	91.003288	POKE
5	1	29	1	1	2	4040	354	33	12	79.506355	HOLE
5	1	30	1	1	1	4485	367	42	13	96.448380	GLOBE
5	1	30	1	1	2	4538	367	40	13	96.448380	VALVE
5	1	31	1	1	1	3995	378	61	12	96.682823	CRUSHER
5	1	32	1	1	1	4486	392	50	13	94.674629	NEEDLE
5	1	32	1	1	2	4546	392	41	13	94.674629	VALVE
5	1	33	1	1	1	2943	403	150	13	94.654526	ELECTROMAGNETIC
5	1	33	1	1	2	3107	403	21	13	92.082542	OR
5	1	33	1	1	3	3141	403	48	13	87.426704	SONIC
5	1	33	1	1	4	3203	403	56	13	87.426704	SIGNAL
5	1	34	1	1	1	3748	375	82	39	17.540436	\le/
5	1	35	1	1	1	2943	420	76	18	96.365242	(WITHOUT
5	1	35	1	1	2	3031	422	54	12	96.042824	WIRING
5	1	35	1	1	3	3099	422	21	12	91.023087	OR
5	1	35	1	1	4	3133	422	34	12	81.158485	TUBI
5	1	36	1	1	1	4490	428	68	12	95.063782	PRESSURE
5	1	36	1	1	2	4569	428	76	12	95.063782	REGULATOR
5	1	37	1	1	1	2822	445	92	11	0.000000	eekeoe
5	1	38	1	1	1	2943	450	38	13	95.534096	HEAT
5	1	38	1	1	2	2993	450	67	13	95.534096	TRACING
5	1	39	1	1	1	3995	423	50	32	0.000000	Caan
5	1	39	1	1	2	4064	423	38	13	4.628000	EYOR
5	1	39	1	1	3	4112	423	31	13	83.262222	WITH
5	1	39	1	1	4	4154	423	36	13	83.262222	SPILL
5	1	40	1	1	1	2943	469	137	13	90.651176	E=ELECTRICALLY
5	1	40	1	1	2	3091	469	62	13	96.106857	TRACED
5	1	41	1	1	1	4495	477	48	12	94.949913	SAFETY
5	1	41	1	1	2	4553	477	41	12	96.819931	VALVE
5	1	41	1	1	3	4605	477	17	12	96.641426	OR
5	1	41	1	1	4	4633	477	60	12	96.641426	RUPTURE
5	1	41	1	1	5	4704	477	28	12	96.634361	DISC
5	1	42	1	1	1	3995	489	89	12	92.012245	VIBROFEEDER
5	1	43	1	1	1	3995	524	38	13	96.490486	MIXER
5	1	44	1	1	1	4497	511	41	13	96.165794	FILTER
5	1	45	1	1	1	4497	545	50	12	91.101753	NOZZLE
5	1	46	1	1	1	307	560	118	15	79.914505	INSTRUMENT
5	1	46	1	1	2	439	560	28	14	79.914505	AIR
5	1	47	1	1	1	709	564	52	18	76.313126	S40H
5	1	48	1	1	1	3995	565	72	45	87.057808	RESERVOIR
5	1	49	1	1	1	4497	570	75	19	91.860405	AIR/WATER
5	1	49	1	1	2	4583	573	35	12	96.846436	INLET
5	1	50	1	1	1	265	583	1	35	31.108742	|
5	1	50	1	1	2	288	591	142	18	47.779999	12PBO01-PID-403
5	1	50	1	1	3	441	589	43	25	61.474030	(G~B)
